,Name,Quiescent_Background,Quiescent_Background_Error,Average_Source_Flux (0.2-5 MeV)
144,4FGL J0217.8+0144,6.365468750000001e-08,1.7755007549082345e-09,2.584340747041633e-06
145,4FGL J0218.9-2305,5.1933013698630135e-08,3.863128779894754e-09,2.1134436442854673e-05
146,4FGL J0218.9+3643,5.8030887096774195e-08,3.4440760335393295e-09,2.005857795736279e-06
147,4FGL J0221.1+3556,9.278743666169894e-08,1.4084249171612532e-09,1.5912515642985304e-05
148,4FGL J0221.5+2513,1.9301111111111113e-08,8.223881078906724e-09,2.147277832557481e-12
149,4FGL J0222.0-1616,4.741747252747253e-08,3.1246980950573762e-09,0.000107593971210902
150,4FGL J0222.6+4302,9.034455696202533e-08,1.1961491976191471e-09,2.061181403062235e-06
151,4FGL J0223.2-1653,5.311213675213675e-08,3.139345915165234e-09,4.406609466082714e-09
152,4FGL J0224.2+0700,6.846867924528302e-08,6.177233836187604e-09,0.00014103354263581258
153,4FGL J0225.1-2604,6.379407407407406e-08,2.787177735183384e-09,7.833205047974098e-06
154,4FGL J0225.6-4502,4.3338780487804876e-08,4.48009954057095e-09,7.603235079582912e-05
155,4FGL J0226.3-1845,6.229055555555555e-08,6.350404420497284e-09,6.774989419238546e-09
156,4FGL J0226.5+0938,-3333,-3333,1.0995046751039207e-06
157,4FGL J0226.5-4441,-3333,-3333,5.448348721497464e-09
158,4FGL J0227.2+3928,7.06595238095238e-08,4.176901155933185e-09,0.00016542424345765476
159,4FGL J0227.8+2246,-3333,-3333,1.5947033445385532e-07
160,4FGL J0228.0-3026,4.938507462686567e-08,3.56744328318191e-09,0.00029607020771408443
161,4FGL J0228.1+8208,-3333,-3333,1.4989126046489415e-05
162,4FGL J0228.3-5547,7.054928057553958e-08,1.4364530681749426e-09,2.1585833893777996e-07
163,4FGL J0229.5-3644,6.065815573770492e-08,2.1981530829903303e-09,7.329329150167857e-07
164,4FGL J0230.8+4032,6.805541484716157e-08,2.4938886406543653e-09,3.641763196545001e-07
165,4FGL J0231.2-4745,7.109077272727272e-08,2.224020859249181e-09,6.114129039916718e-06
166,4FGL J0231.8+1322,8.718914728682173e-08,4.335486568654348e-09,0.0003299214356124349
167,4FGL J0236.8-6136,7.68684126984127e-08,2.371602399608386e-09,1.7616657779042916e-05
168,4FGL J0237.6-3602,3.7486206896551726e-08,5.369778228402196e-09,3.279773649760061e-07
169,4FGL J0237.8+2848,1.5033076923076924e-07,1.8150614098558994e-09,4.678381038519629e-06
170,4FGL J0238.1-3905,-3333,-3333,2.539314458821456e-07
171,4FGL J0238.1-2621,-3333,-3333,1.8046167528861416e-05
172,4FGL J0238.2+1531,9.457638888888889e-08,6.369826189317627e-09,6.037175914916793e-06
173,4FGL J0238.4-3116,-3333,-3333,1.6848311817708996e-06
174,4FGL J0238.6+1637,1.1011315151515151e-07,1.7905217793451838e-09,1.2781652792053556e-06
175,4FGL J0239.5+1326,-3333,-3333,9.163761105279186e-10
176,4FGL J0239.7+0415,7.936137931034483e-08,4.705741916643296e-09,7.935542908664287e-05
177,4FGL J0240.5+6113,8.892387022016222e-07,3.1642591690008525e-09,2.260071100592071e-06
178,4FGL J0242.3+1102,-3333,-3333,1.398982980032669e-07
179,4FGL J0242.3+5216,9.329284848484848e-08,4.841294994356728e-09,3.9751689000829094e-07
180,4FGL J0242.6+1735,-3333,-3333,1.1532854431331653e-06
181,4FGL J0243.2-0550,6.926073684210528e-08,4.25964781290864e-09,0.00018615997566248828
182,4FGL J0243.4+7119,4.170303225806451e-08,2.795741759156624e-09,3.7753010036357087e-08
183,4FGL J0244.7+1316,-3333,-3333,1.1056206592979544e-06
184,4FGL J0245.1-0257,4.7208382352941177e-08,4.132734767725298e-09,2.604715948295912e-07
185,4FGL J0245.4+2408,-3333,-3333,6.028246214885611e-05
186,4FGL J0245.9-4650,7.012070224719102e-08,1.6760048109305264e-09,4.4855336208533454e-07
187,4FGL J0250.2-8224,-3333,-3333,1.3407412546950863e-06
188,4FGL J0250.6+1712,4.6110775e-08,5.806377865273385e-09,5.3731439510841816e-08
189,4FGL J0251.5-5958,3.585913043478261e-08,5.273242943941928e-09,3.682588386361191e-08
190,4FGL J0252.8-2219,7.810556291390727e-08,1.591394589352605e-09,3.299645308715966e-06
191,4FGL J0253.2-5441,5.946818181818181e-08,2.2807241909080568e-09,1.0014382971137036e-05
192,4FGL J0253.5+3216,5.6503333333333336e-08,8.828805836578354e-09,2.800355562100888e-05
193,4FGL J0253.9+5103,9.280432624113476e-08,4.8279918163943485e-09,2.7559808861320664e-05
194,4FGL J0256.3+0334,-3333,-3333,1.7067905506551714e-06
195,4FGL J0257.9-1215,8.036847826086956e-08,4.654658252773219e-09,0.00011742021695363148
196,4FGL J0258.1+2030,4.868673076923077e-08,5.521217967641615e-09,4.690842938923785e-10
