,Name,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Average_Flux_of_Entire_Source_(0.2-5_MeV),Start_Time_(MJD)
76,4FGL J1626.0-2950,0.00021938167485855878,0.0001374345989424047,59149.00001157408
77,4FGL J1626.0-2950,0.0001980567852290276,0.0001374345989424047,60398.50001157408
78,4FGL J1512.8-0906,0.00043226527166914116,0.00019872128641399754,54693.50001157408
79,4FGL J1512.8-0906,0.0003847600314315477,0.00019872128641399754,54833.50001157408
80,4FGL J1512.8-0906,0.0006046074710624514,0.00019872128641399754,54889.50001157408
81,4FGL J1512.8-0906,0.0004334233279133423,0.00019872128641399754,55141.50001157408
82,4FGL J1512.8-0906,0.00026466849072011333,0.00019872128641399754,55267.50001157408
83,4FGL J1512.8-0906,0.00027241139883325415,0.00019872128641399754,55379.50001157408
84,4FGL J1512.8-0906,0.0004508735917015573,0.00019872128641399754,55729.50001157408
85,4FGL J1512.8-0906,0.00033322098762563694,0.00019872128641399754,55834.50001157408
86,4FGL J1512.8-0906,0.0003647318038119075,0.00019872128641399754,56296.50001157408
87,4FGL J1512.8-0906,0.0004946019432409584,0.00019872128641399754,56499.50001157408
88,4FGL J1512.8-0906,0.0003635555506204157,0.00019872128641399754,56772.50001157408
89,4FGL J1512.8-0906,0.0003763538729240008,0.00019872128641399754,56898.50001157408
90,4FGL J1512.8-0906,0.00045082557023050585,0.00019872128641399754,57080.50001157408
91,4FGL J1512.8-0906,0.0003845223251498433,0.00019872128641399754,57598.50001157408
92,4FGL J1512.8-0906,0.000302607299830372,0.00019872128641399754,58214.50001157408
93,4FGL J1512.8-0906,0.00048189546200075897,0.00019872128641399754,58403.50001157408
94,4FGL J1512.8-0906,0.0004531546115764985,0.00019872128641399754,58494.50001157408
95,4FGL J1512.8-0906,0.000571402681893456,0.00019872128641399754,58557.50001157408
96,4FGL J1512.8-0906,0.0003209034803009539,0.00019872128641399754,58683.50001157408
97,4FGL J1512.8-0906,0.00023703834669796815,0.00019872128641399754,58858.50001157408
98,4FGL J1256.1-0547,0.0003303460588566047,0.00016404410841643204,54777.50001157408
99,4FGL J1256.1-0547,0.00025722752379043427,0.00016404410841643204,55029.50001157408
100,4FGL J1256.1-0547,0.0003607532863132635,0.00016404410841643204,56618.50001157408
101,4FGL J1256.1-0547,0.00048510046304435966,0.00016404410841643204,56849.50001157408
102,4FGL J1256.1-0547,0.00041072288563551683,0.00016404410841643204,56968.50001157408
103,4FGL J1256.1-0547,0.00037969118115368166,0.00016404410841643204,57178.50001157408
104,4FGL J1256.1-0547,0.00038186464064255375,0.00016404410841643204,57801.50001157408
105,4FGL J1256.1-0547,0.0006016036709172222,0.00016404410841643204,58095.50001157408
106,4FGL J1256.1-0547,0.00029781342762786803,0.00016404410841643204,58396.50001157408
107,4FGL J1256.1-0547,0.0002459100551653259,0.00016404410841643204,58991.50001157408
108,4FGL J1256.1-0547,0.0002514381151662823,0.00016404410841643204,59264.50001157408
109,4FGL J1229.0+0202,0.0022046333939294703,0.000857323738684921,54707.50001157408
110,4FGL J1229.0+0202,0.001300412138608063,0.000857323738684921,54889.50001157408
111,4FGL J1229.0+0202,0.0018156220799928281,0.000857323738684921,54931.50001157408
112,4FGL J1229.0+0202,0.0012574358432030533,0.000857323738684921,55008.50001157408
113,4FGL J1229.0+0202,0.002435414155625622,0.000857323738684921,55029.50001157408
114,4FGL J1229.0+0202,0.0013732190390589034,0.000857323738684921,55316.50001157408
115,4FGL J1229.0+0202,0.0012191905517459896,0.000857323738684921,55414.50001157408
116,4FGL J1229.0+0202,0.0014692836993759838,0.000857323738684921,55645.50001157408
117,4FGL J1229.0+0202,0.0009207039286179171,0.000857323738684921,55694.50001157408
118,4FGL J1229.0+0202,0.0010693513503717159,0.000857323738684921,56023.50001157408
119,4FGL J1229.0+0202,0.002663519108159905,0.000857323738684921,56160.00001157408
120,4FGL J1229.0+0202,0.0011618767863613253,0.000857323738684921,56268.50001157408
121,4FGL J1229.0+0202,0.0015016423217985798,0.000857323738684921,56709.50001157408
122,4FGL J1229.0+0202,0.0014895078383901066,0.000857323738684921,56884.50001157408
123,4FGL J1229.0+0202,0.0011649104072134436,0.000857323738684921,57248.50001157408
124,4FGL J1229.0+0202,0.0013931457642639943,0.000857323738684921,57290.50001157408
125,4FGL J1229.0+0202,0.001021192619344337,0.000857323738684921,57451.50001157408
126,4FGL J1229.0+0202,0.0010648009190935383,0.000857323738684921,57654.50001157408
127,4FGL J1229.0+0202,0.0010651801217000532,0.000857323738684921,57724.50001157408
128,4FGL J1229.0+0202,0.0009646914309736331,0.000857323738684921,57843.50001157408
129,4FGL J1229.0+0202,0.0027393596294628636,0.000857323738684921,57875.00001157408
130,4FGL J1229.0+0202,0.0013681630043053726,0.000857323738684921,57906.50001157408
131,4FGL J1229.0+0202,0.0009404224641566863,0.000857323738684921,58011.50001157408
132,4FGL J1229.0+0202,0.000998061260346935,0.000857323738684921,58172.50001157408
133,4FGL J1229.0+0202,0.0010041285020511714,0.000857323738684921,58445.50001157408
134,4FGL J1229.0+0202,0.0009717698796285759,0.000857323738684921,58750.00001157408
135,4FGL J1229.0+0202,0.002363190643800189,0.000857323738684921,58872.50001157408
136,4FGL J1229.0+0202,0.0019748871747290414,0.000857323738684921,59152.50001157408
137,4FGL J1229.0+0202,0.0009884547943152268,0.000857323738684921,59187.50001157408
138,4FGL J1229.0+0202,0.0012498517910727572,0.000857323738684921,59348.50001157408
139,4FGL J1229.0+0202,0.0017473656108201656,0.000857323738684921,59464.00001157408
140,4FGL J1229.0+0202,0.0008668571584928165,0.000857323738684921,59551.50001157408
141,4FGL J1229.0+0202,0.0015410793928761185,0.000857323738684921,60125.50001157408
142,4FGL J1229.0+0202,0.0016442225018481421,0.000857323738684921,60139.50001157408
143,4FGL J1229.0+0202,0.0014110128988415443,0.000857323738684921,60335.50001157408
144,4FGL J1229.0+0202,0.0015607979284148876,0.000857323738684921,60433.50001157408
145,4FGL J1229.0+0202,0.0014819237862598107,0.000857323738684921,60454.50001157408
146,4FGL J1229.0+0202,0.001246818170220639,0.000857323738684921,60489.50001157408
