,Name,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),MDP99,Start Time (MJD),Start Time (s)
111,4FGL J1642.9+3948,3.535696732447527e-09,0.0022911314826259974,0.06918364624734338,64800.0,648000.0,1.0714285714285714,5261630.240987297,55052.00001157408,4756492801.0
112,4FGL J1642.9+3948,1.4634188848537055e-08,0.02465568137201523,0.2863499392135806,168480.0,1684800.0,2.7857142857142856,2049809.4368580042,55101.50001157408,4760769601.0
113,4FGL J1642.9+3948,8.198022254217317e-09,0.011687100525612207,0.16041225095994194,142560.0,1425600.0,2.357142857142857,3365871.9678625683,55187.00001157408,4768156801.0
114,4FGL J1642.9+3948,9.120899028449385e-09,0.007092411084522242,0.17847035523467222,77760.0,777600.0,1.2857142857142858,2234336.4667444816,57897.50001157408,5002344001.0
115,4FGL J1642.9+3948,2.984367750438761e-09,0.0015470962418274537,0.058395687849452545,51840.0,518400.0,0.8571428571428571,5575553.662648254,58545.50001157408,5058331201.0
116,4FGL J1642.9+3948,4.362690205460678e-08,0.11308093012554077,0.8536558384417963,259200.0,2592000.0,4.285714285714286,852847.609061709,59385.50001157408,5130907201.0
117,4FGL J1642.9+3948,1.0415323594904751e-08,0.008098955627397934,0.20379860538624203,77760.0,777600.0,1.2857142857142858,1956651.7009327032,59424.50001157408,5134276801.0
118,4FGL J1642.9+3948,1.2344975031935436e-08,0.01279927011311066,0.24155645977885992,103680.0,1036800.0,1.7142857142857142,1906186.4656142665,59604.50001157408,5149828801.0
119,4FGL J1642.9+3948,6.464931584685411e-08,0.2178423346775596,1.2650053825700687,336960.0,3369600.0,5.571428571428571,656196.113748388,59658.50001157408,5154494401.0
120,4FGL J1642.9+3948,4.836114005229076e-08,0.12535207501553766,0.9462915681628152,259200.0,2592000.0,4.285714285714286,769359.5667208795,59787.50001157408,5165640001.0
121,4FGL J1642.9+3948,5.567224177023311e-08,0.05772098026737769,1.0893492773522373,103680.0,1036800.0,1.7142857142857142,422686.7786454358,59826.50001157408,5169009601.0
122,4FGL J1626.0-2950,1.2143174927359817e-07,1.5580179158799738,2.4566835226109904,1283040.0,12830400.0,21.214285714285715,659336.8339598064,54758.00001157408,4731091201.0
123,4FGL J1626.0-2950,7.383939824061934e-07,51.67576446471504,14.938435299035971,6998400.0,69984000.0,115.71428571428571,253239.10573748077,55077.50001157408,4758696001.0
124,4FGL J1626.0-2950,4.251029697201811e-07,21.486404501536835,8.600250489446173,5054400.0,50544000.0,83.57142857142857,373817.9148010901,55896.50001157408,4829457601.0
125,4FGL J1626.0-2950,6.878876561159642e-08,0.7042868978377688,1.3916642725618789,1023840.0,10238400.0,16.928571428571427,1039723.5981156051,56493.50001157408,4881038401.0
126,4FGL J1626.0-2950,4.03209482759189e-07,6.375225773802089,8.1573237508353,1581120.0,15811200.0,26.142857142857142,220430.59594422017,56634.50001157408,4893220801.0
127,4FGL J1626.0-2950,2.129362765496678e-06,205.31826831982687,43.07909958433272,9642240.0,96422400.0,159.42857142857142,103076.42768743358,56832.50001157408,4910328001.0
128,4FGL J1626.0-2950,3.1613344375977316e-07,11.676704878710982,6.395689981217792,3693600.0,36936000.0,61.07142857142857,429708.4958070981,57978.50001157408,5009342401.0
129,4FGL J1626.0-2950,4.4204637263435164e-07,32.76942805903165,8.943032167262714,7413120.0,74131200.0,122.57142857142857,435363.50587705954,58439.00001157408,5049129601.0
130,4FGL J1626.0-2950,5.8796750255365247e-08,1.2420695897945397,1.1895159906655046,2112480.0,21124800.0,34.92857142857143,1747278.6812794565,59336.00001157408,5126630401.0
131,4FGL J1626.0-2950,6.3761336501543e-08,0.7519756981645975,1.289954445192634,1179360.0,11793600.0,19.5,1203885.2637326205,59612.00001157408,5150476801.0
132,4FGL J1626.0-2950,1.426387987984101e-07,2.551066388749805,2.8857229578695263,1788480.0,17884800.0,29.571428571428573,662710.4170048588,59786.00001157408,5165510401.0
133,4FGL J1512.8-0906,4.0533692677780687e-07,0.7354433199456528,8.178879853930166,181440.0,1814400.0,3.0,74476.37256157631,54711.50001157408,4727073601.0
134,4FGL J1512.8-0906,4.040446730261241e-07,0.41891351699348545,8.152804785320399,103680.0,1036800.0,1.7142857142857142,56479.853660533925,54837.50001157408,4737960001.0
135,4FGL J1512.8-0906,4.005125127715248e-06,47.75390792277445,80.8153293112037,1192320.0,11923200.0,19.714285714285715,19322.059835003958,54897.50001157408,4743144001.0
136,4FGL J1512.8-0906,8.748557898891879e-07,3.174676690349885,17.652821448812084,362880.0,3628800.0,6.0,48799.34452392867,55170.50001157408,4766731201.0
137,4FGL J1512.8-0906,6.93509513403049e-08,0.03595153317481406,1.3993620153908148,51840.0,518400.0,0.8571428571428571,232672.10251611215,55272.50001157408,4775544001.0
138,4FGL J1512.8-0906,5.12593988167471e-08,0.03985930851990255,1.0343110548540806,77760.0,777600.0,1.2857142857142858,385536.84162925463,55659.50001157408,4808980801.0
139,4FGL J1512.8-0906,4.2988974805977816e-07,0.5571371134854725,8.674306157515733,129600.0,1296000.0,2.142857142857143,59349.67229644278,55734.50001157408,4815460801.0
140,4FGL J1512.8-0906,1.787617689827735e-07,0.18534020208133956,3.607051157684398,103680.0,1036800.0,1.7142857142857142,127655.28054032038,55779.50001157408,4819348801.0
141,4FGL J1512.8-0906,2.2609702390691083e-06,9.376695775467406,45.62180920860155,414720.0,4147200.0,6.857142857142857,20186.68051434547,55839.50001157408,4824532801.0
142,4FGL J1512.8-0906,2.7516389885830293e-06,13.551271690973703,55.52251275972996,492480.0,4924800.0,8.142857142857142,18075.30789891929,55950.50001157408,4834123201.0
143,4FGL J1512.8-0906,1.2625319153939978e-07,0.1308993089880497,2.5475342031742105,103680.0,1036800.0,1.7142857142857142,180746.0619053466,56019.50001157408,4840084801.0
144,4FGL J1512.8-0906,4.95363938145035e-08,0.025679666553438615,0.9995442967077249,51840.0,518400.0,0.8571428571428571,325739.6874101291,56037.50001157408,4841640001.0
145,4FGL J1512.8-0906,5.90129213268433e-08,0.030592298415835564,1.1907614665126809,51840.0,518400.0,0.8571428571428571,273431.6287475758,56271.50001157408,4861857601.0
146,4FGL J1512.8-0906,2.0520989576721278e-07,0.31914242989716934,4.140720895230957,155520.0,1555200.0,2.5714285714285716,136194.31659716764,56319.50001157408,4866004801.0
147,4FGL J1512.8-0906,1.7660801272996898e-07,0.16021878914862786,3.563592710001454,90720.0,907200.0,1.5,120867.07884059976,56355.50001157408,4869115201.0
148,4FGL J1512.8-0906,9.342994624665921e-08,0.0726511262014022,1.8852274604861348,77760.0,777600.0,1.2857142857142858,211522.06165442313,56475.50001157408,4879483201.0
149,4FGL J1512.8-0906,1.9250273387566622e-06,11.476242982731717,38.84316053901585,596160.0,5961600.0,9.857142857142858,28426.084467306322,56526.50001157408,4883889601.0
150,4FGL J1512.8-0906,5.2120901317868905e-08,0.027019475243183242,1.0516944339272585,51840.0,518400.0,0.8571428571428571,309587.46193291614,56817.50001157408,4909032001.0
151,4FGL J1512.8-0906,6.76279463380613e-08,0.035058327381650975,1.364595257244459,51840.0,518400.0,0.8571428571428571,238599.97416555343,56826.50001157408,4909809601.0
152,4FGL J1512.8-0906,8.774402973925533e-08,0.06822975752524495,1.7704971586031613,77760.0,777600.0,1.2857142857142858,225228.7743135544,56856.50001157408,4912401601.0
153,4FGL J1512.8-0906,1.3835730168016108e-07,0.143448850381991,2.7917706791523584,103680.0,1036800.0,1.7142857142857142,164933.78935498177,56868.50001157408,4913438401.0
154,4FGL J1512.8-0906,4.9105642563942607e-08,0.025456365105147847,0.9908526071711361,51840.0,518400.0,0.8571428571428571,328597.0255427859,56913.50001157408,4917326401.0
155,4FGL J1512.8-0906,1.8440461036512129e-07,0.2389883750331972,3.7209122906137124,129600.0,1296000.0,2.142857142857143,138355.1532216553,56937.50001157408,4919400001.0
156,4FGL J1512.8-0906,1.740235052266036e-07,0.18042757021894262,3.5114425727819207,103680.0,1036800.0,1.7142857142857142,131130.98267008713,56955.50001157408,4920955201.0
157,4FGL J1512.8-0906,1.6058406620910353e-07,0.20811694980699819,3.2402618592403463,129600.0,1296000.0,2.142857142857143,158878.03450568934,57048.50001157408,4928990401.0
158,4FGL J1512.8-0906,1.558888775779897e-06,6.06095956023224,31.45522443291527,388800.0,3888000.0,6.428571428571429,28348.099249508537,57096.50001157408,4933137601.0
159,4FGL J1512.8-0906,1.179396924035744e-06,3.3626965098107138,23.79784595118044,285120.0,2851200.0,4.714285714285714,32087.091550282894,57144.50001157408,4937284801.0
160,4FGL J1512.8-0906,9.523910149901497e-07,3.2091767641108087,19.21732556539808,336960.0,3369600.0,5.571428571428571,43196.11099017253,57189.50001157408,4941172801.0
161,4FGL J1512.8-0906,6.431116170874237e-07,0.833472655745301,12.976692478127244,129600.0,1296000.0,2.142857142857143,39673.11187929823,57237.50001157408,4945320001.0
162,4FGL J1512.8-0906,2.998459455154425e-07,0.6217605526208215,6.0502850864195405,207360.0,2073600.0,3.4285714285714284,107628.93092128659,57273.50001157408,4948430401.0
163,4FGL J1512.8-0906,1.6807913796886318e-07,0.17426445024611734,3.3914972571769932,103680.0,1036800.0,1.7142857142857142,135768.54524801899,57600.50001157408,4976683201.0
164,4FGL J1512.8-0906,7.973205647882259e-07,1.8599894135379733,16.088317332226076,233280.0,2332800.0,3.857142857142857,42931.804409061486,57627.50001157408,4979016001.0
165,4FGL J1512.8-0906,2.2037233978695644e-07,0.34272306283667464,4.446668366918887,155520.0,1555200.0,2.5714285714285716,126823.76123109978,58221.50001157408,5030337601.0
