Name,Duration_(s),Source_Counts(ph)_(0.2-5_MeV),Asymmetry,Coverage,Background_Counts,MDP99_(%),Class,Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Start_Time_(MJD),Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV),StarttimeMJD,EndtimeMJD,Threshold,QuiescentBkg,QuiescentBkgErr,ThresholdPercent
4FGL J1229.0+0202,604800.0,21864.244515647842,0.0,0.008620689655172414,1512000.0,81.00186603443203,FSRQ,2054.901958324515,0.003397655354372544,54938.50001157408,0.002142073390579119,0.003397655354372544,54500.0,55500.0,1e-06,5.489811320754716e-07,6.462150732275216e-09,0.3
4FGL J1229.0+0202,1209600.0,87261.76159370168,-0.5,0.017241379310344827,3024000.0,28.905490084785697,FSRQ,8201.260494384449,0.0067801426044844975,55057.50001157408,0.002142073390579119,0.008827836679664379,54500.0,55500.0,1e-06,5.489811320754716e-07,6.462150732275216e-09,0.3
4FGL J1229.0+0202,4233600.0,301414.2279657167,-0.5714285714285714,0.0603448275862069,10584000.0,15.652898482199229,FSRQ,28328.29128261652,0.006691300850958173,55078.50001157408,0.002142073390579119,0.013226586915235974,54500.0,55500.0,1e-06,5.489811320754716e-07,6.462150732275216e-09,0.3
4FGL J1229.0+0202,1209600.0,70082.71233140693,-0.5,0.017241379310344827,3024000.0,35.89145756995436,FSRQ,6586.694669986615,0.005445349429552426,55134.50001157408,0.002142073390579119,0.006522284832054438,54500.0,55500.0,1e-06,5.489811320754716e-07,6.462150732275216e-09,0.3
4FGL J1229.0+0202,604800.0,24402.058611214114,0.0,0.008620689655172414,1512000.0,72.63768787649312,FSRQ,2293.4173642014675,0.003792026065147929,55197.50001157408,0.002142073390579119,0.003792026065147929,54500.0,55500.0,1e-06,5.489811320754716e-07,6.462150732275216e-09,0.3
4FGL J1229.0+0202,1814400.0,116349.0154582689,0.0,0.02586206896551724,4536000.0,26.5099841859488,FSRQ,10935.013992512599,0.006026793426208443,55253.50001157408,0.002142073390579119,0.007584052130295858,54500.0,55500.0,1e-06,5.489811320754716e-07,6.462150732275216e-09,0.3
4FGL J1256.1-0547,1209600.0,10471.20524312675,-0.5,0.023529411764705882,3024000.0,237.89256866526517,FSRQ,1025.4181758881766,0.0008477332803308339,57836.50001157408,0.0005275723077749583,0.0010017251973083615,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08,0.3
4FGL J1256.1-0547,604800.0,4457.467186064964,0.0,0.011764705882352941,1512000.0,395.0599456657242,FSRQ,436.5082877175357,0.0007217398937128566,57885.50001157408,0.0005275723077749583,0.0007217398937128566,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08,0.3
4FGL J1256.1-0547,604800.0,4534.320068583326,0.0,0.011764705882352941,1512000.0,388.37385525135403,FSRQ,444.03429267818285,0.000734183684983768,57920.50001157408,0.0005275723077749583,0.000734183684983768,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08,0.3
4FGL J1256.1-0547,604800.0,5610.2604238403865,0.0,0.011764705882352941,1512000.0,314.00252702298974,FSRQ,549.3983621272432,0.0009083967627765265,57934.50001157408,0.0005275723077749583,0.0009083967627765265,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08,0.3
4FGL J1256.1-0547,604800.0,4092.415994102748,0.0,0.011764705882352941,1512000.0,430.24823933123645,FSRQ,400.75976415446166,0.0006626318851760279,58109.50001157408,0.0005275723077749583,0.0006626318851760279,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08,0.3
