Name,Duration_(s),Source_Counts(ph)_(0.2-5_MeV),Asymmetry,Coverage,Background_Counts,MDP99_(%),Class,Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Start_Time_(MJD),Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV),StarttimeMJD,EndtimeMJD,Threshold,QuiescentBkg,QuiescentBkgErr
4FGL J1512.8-0906,1814400.0,112951.40279906108,-0.6666666666666666,0.005263157894736842,9072000.0,38.369208449371484,FSRQ,8372.567447462017,0.00461451027748127,55862.50001157408,0.0008287509046693094,0.007546807778221876,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,4233600.0,248946.4028246864,0.14285714285714285,0.012280701754385965,21168000.0,26.58330395818676,FSRQ,18453.250661797552,0.004358761021777577,55953.50001157408,0.0008287509046693094,0.006192549327221937,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,604800.0,16904.934030963155,0.0,0.0017543859649122807,3024000.0,147.5108544900429,FSRQ,1253.0849273375425,0.002071899681444349,56352.50001157408,0.0008287509046693094,0.002071899681444349,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,604800.0,20588.13194832384,0.0,0.0017543859649122807,3024000.0,121.19462788563011,FSRQ,1526.10343105913,0.002523319165110995,56534.50001157408,0.0008287509046693094,0.002523319165110995,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,2419200.0,89152.27779457663,-0.75,0.007017543859649123,12096000.0,55.9911096124374,FSRQ,6608.447884953297,0.002731666619110986,56548.50001157408,0.0008287509046693094,0.003842853040444268,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,1209600.0,38343.03472944716,-0.5,0.0035087719298245615,6048000.0,92.00846124773297,FSRQ,2842.1926284862693,0.00234969628677767,56583.50001157408,0.0008287509046693094,0.002812690628999871,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,6652800.0,267834.5972726899,-0.5454545454545454,0.01929824561403509,33264000.0,30.91704792871317,FSRQ,19853.345552677485,0.0029842089875958223,57094.50001157408,0.0008287509046693094,0.004965614320333105,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,1209600.0,45426.107647448465,0.5,0.0035087719298245615,6048000.0,77.70720461543512,FSRQ,3367.2282125662455,0.002783753482610983,57206.50001157408,0.0008287509046693094,0.0031599363856665216,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,1209600.0,62992.12848409175,0.5,0.0035087719298245615,6048000.0,56.11844342353255,FSRQ,4669.316461084586,0.0038602153282776006,57234.50001157408,0.0008287509046693094,0.00474569200777756,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,2419200.0,84524.67015481576,0.25,0.007017543859649123,12096000.0,59.045329520072066,FSRQ,6265.424636687712,0.0025898746018054365,57626.50001157408,0.0008287509046693094,0.0030441878001109712,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,3628800.0,88680.07293337655,0.6666666666666666,0.010526315789473684,18144000.0,68.85496337245132,FSRQ,6573.445512681298,0.0018114653639443614,58571.50001157408,0.0008287509046693094,0.0026853671848887655,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1522.1+3144,2116800.0,2299.677807784425,0.42857142857142855,0.04929577464788732,10584000.0,2023.2108025116254,FSRQ,180.20785374623736,8.513220604036157e-05,55502.00001157408,4.145522513060031e-05,0.00010519118594226494,55500.0,56000.0,5e-07,3.056571428571428e-07,7.972021387327056e-09
4FGL J1522.1+3144,1814400.0,1489.8840268614495,0.0,0.04225352112676056,9072000.0,2891.150855739862,FSRQ,116.75061693541019,6.434668040972784e-05,55575.50001157408,4.145522513060031e-05,9.30610311669407e-05,55500.0,56000.0,5e-07,3.056571428571428e-07,7.972021387327056e-09
4FGL J1522.1+3144,604800.0,515.6446926545517,0.0,0.014084507042253521,3024000.0,4822.957145884025,FSRQ,40.40706182595197,6.681061809846556e-05,55666.50001157408,4.145522513060031e-05,6.681061809846556e-05,55500.0,56000.0,5e-07,3.056571428571428e-07,7.972021387327056e-09
4FGL J1522.1+3144,4233600.0,2900.7756752736905,-0.7142857142857143,0.09859154929577464,21168000.0,2268.2533494825852,FSRQ,227.31121588897238,5.369218062381245e-05,55708.50001157408,4.145522513060031e-05,6.946408945556775e-05,55500.0,56000.0,5e-07,3.056571428571428e-07,7.972021387327056e-09
