,Name,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Average_Flux_of_Entire_Source_(0.2-5_MeV),Start_Time_(MJD)
339,4FGL J1512.8-0906,0.0008015589549721,0.0006918049351534,58858.50001157408
340,4FGL J1512.8-0906,0.0009618707459666,0.0006918049351534,58893.50001157408
341,4FGL J1512.8-0906,0.0007899840964166,0.0006918049351534,59019.50001157408
342,4FGL J1512.8-0906,0.000684652883561,0.0006918049351534,59292.50001157408
343,4FGL J1512.8-0906,0.000781013581036,0.0006918049351534,59383.50001157408
344,4FGL J1256.1-0547,0.0007847635741732,0.0004308858305217,54777.50001157408
345,4FGL J1256.1-0547,0.0006872984770484,0.0004308858305217,55008.50001157408
346,4FGL J1256.1-0547,0.0006110646261202,0.0004308858305217,55029.50001157408
347,4FGL J1256.1-0547,0.0004308548517411,0.0004308858305217,55155.50001157408
348,4FGL J1256.1-0547,0.0006878527500138,0.0004308858305217,55449.50001157408
349,4FGL J1256.1-0547,0.0005904854657652,0.0004308858305217,55652.50001157408
350,4FGL J1256.1-0547,0.0005684069259783,0.0004308858305217,55687.50001157408
351,4FGL J1256.1-0547,0.0009655240574857,0.0004308858305217,56618.50001157408
352,4FGL J1256.1-0547,0.0005195385261989,0.0004308858305217,56779.50001157408
353,4FGL J1256.1-0547,0.0011523950808719,0.0004308858305217,56849.50001157408
354,4FGL J1256.1-0547,0.0004802467315433,0.0004308858305217,56877.50001157408
355,4FGL J1256.1-0547,0.0009757051766916,0.0004308858305217,56968.50001157408
356,4FGL J1256.1-0547,0.0007641576615786,0.0004308858305217,57143.50001157408
357,4FGL J1256.1-0547,0.0018712255310609,0.0004308858305217,57178.50001157408
358,4FGL J1256.1-0547,0.0004522867397351,0.0004308858305217,57262.50001157408
359,4FGL J1256.1-0547,0.0004515477091146,0.0004308858305217,57304.50001157408
360,4FGL J1256.1-0547,0.0006338419288335,0.0004308858305217,57332.50001157408
361,4FGL J1256.1-0547,0.0004444530151579,0.0004308858305217,57402.50001157408
362,4FGL J1256.1-0547,0.00047519668897,0.0004308858305217,57514.50001157408
363,4FGL J1256.1-0547,0.0005383838070212,0.0004308858305217,57542.50001157408
364,4FGL J1256.1-0547,0.0004796308726929,0.0004308858305217,57752.50001157408
365,4FGL J1256.1-0547,0.0009071500997416,0.0004308858305217,57801.50001157408
366,4FGL J1256.1-0547,0.0008114556212894,0.0004308858305217,58074.50001157408
367,4FGL J1256.1-0547,0.0021108236054602,0.0004308858305217,58095.50001157408
368,4FGL J1256.1-0547,0.0007074796978385,0.0004308858305217,58396.50001157408
369,4FGL J1256.1-0547,0.0006324624050086,0.0004308858305217,58550.50001157408
