Swift_BAT_name,Type_BAT,Fermi_LAT_name,Type_LAT,Sep_deg,Flag,1FLE,BAT_ra,BAT_dec,index_BAT,index_LAT,Flux_BAT,Flux_LAT,VarIndex
[HB89]0836+710,BeamedAGN,4C+71.07,FSRQ,0.004,M,1,130.3,70.89,1.7,2.82,7.0e+00,4.8e+00,3.4e+03
PMNJ0641-0320,BeamedAGN,PMNJ0641-0320,FSRQ,0.046,M,0,100.5,-3.362,0.96,2.68,2.2e+00,2.5e+00,3.6e+02
PKS0528+134,BeamedAGN,PKS0528+134,FSRQ,0.032,M,0,82.74,13.57,1.25,2.56,1.8e+00,2.2e+00,4.6e+02
PKS0402-362,BeamedAGN,PKS0402-362,FSRQ,0.017,M,1,60.97,-36.07,1.91,2.53,1.1e+00,7.4e+00,6.1e+03
PKS2325+093,BeamedAGN,PKS2325+093,fsrq,0.012,M,1,351.9,9.663,1.4,2.69,3.0e+00,1.8e+00,3.7e+02
87GB215950.2+503417,BeamedAGN,NRAO676,fsrq,0.016,M,1,330.4,50.82,1.78,2.66,1.9e+00,5.1e+00,3.1e+03
PKS2149-306,BeamedAGN,PKS2149-306,fsrq,0.015,M,1,328.,-30.46,1.61,2.85,8.9e+00,3.0e+00,9.6e+02
[HB89]1921-293,BeamedAGN,PKSB1921-293,fsrq,0.063,M,0,291.2,-29.18,2.04,2.39,1.6e+00,2.3e+00,2.8e+02
2MASSJ16561677-3302127,BeamedAGN,2MASSJ16561677-3302127,fsrq,0.024,M,0,254.1,-33.04,1.55,2.79,6.2e+00,1.5e+00,1.3e+02
[HB89]1354+195,BeamedAGN,4C+19.44,fsrq,0.079,M,0,209.3,19.29,2.02,2.76,8.7e-01,4.0e-01,3.9e+01
[HB89]1334-127,BeamedAGN,PKS1335-127,fsrq,0.013,M,0,204.4,-12.95,2.19,2.42,1.3e+00,1.8e+00,9.5e+01
PKS1329-049,BeamedAGN,PKS1329-049,fsrq,0.032,M,1,203.,-5.153,1.51,2.51,1.5e+00,3.5e+00,2.2e+03
SWIFTJ1254.9+1165,U3,ON187,fsrq,0.006,U,0,193.7,11.65,1.72,2.79,1.3e+00,5.2e-01,2.8e+01
4C+04.42,BeamedAGN,4C+04.42,fsrq,0.047,M,0,185.6,4.219,1.45,2.79,3.6e+00,1.9e+00,1.6e+02
FBQSJ1159+2914,BeamedAGN,Ton599,fsrq,0.045,M,1,179.9,29.23,1.84,2.19,7.5e-01,1.2e+01,7.7e+03
7C1150+3324,BeamedAGN,B21150+33A,fsrq,0.053,M,0,178.2,33.09,1.83,3.01,1.0e+00,2.8e-01,1.9e+01
PKS1143-696,BeamedAGN,PKS1143-696,fsrq,0.077,M,0,176.5,-69.9,1.69,2.69,1.5e+00,5.6e-01,3.5e+01
PKS1127-14,BeamedAGN,PKS1127-14,fsrq,0.065,M,0,172.5,-14.8,1.88,2.69,2.9e+00,8.9e-01,4.1e+02
[HB89]1039+811,BeamedAGN,S51039+81,fsrq,0.022,M,0,161.2,80.92,1.67,2.78,1.2e+00,9.2e-01,4.7e+01
SWIFTJ0949.1+4057,ConfusedSource,4C+40.24,fsrq,0.063,U,0,147.3,40.57,2.46,2.61,7.3e-01,3.1e-01,3.2e+01
CGRaBSJ0805+6144,BeamedAGN,TXS0800+618,fsrq,0.048,M,0,121.3,61.75,1.35,2.8,1.8e+00,6.7e-01,2.2e+02
B20743+25,BeamedAGN,B20743+25,fsrq,0.042,M,0,116.6,25.81,1.43,2.86,3.6e+00,6.7e-01,8.8e+01
PKS0637-752,BeamedAGN,PKS0637-75,fsrq,0.038,M,0,99.02,-75.28,2.0,2.7,1.7e+00,1.3e+00,4.5e+02
[HB89]0552+398,BeamedAGN,B20552+39A,fsrq,0.02,M,0,88.9,39.81,1.54,2.76,2.1e+00,1.8e+00,1.5e+02
[HB89]0537-286,BeamedAGN,PKS0537-286,fsrq,0.045,M,0,84.97,-28.7,1.33,2.73,2.9e+00,1.6e+00,1.1e+02
PKS0524-460,BeamedAGN,PKS0524-460,fsrq,0.035,M,0,81.32,-46.01,1.37,2.38,1.6e+00,3.5e-01,7.3e+00
[HB89]0403-132,BeamedAGN,PKS0403-13,fsrq,0.061,M,0,61.36,-13.14,1.78,2.55,1.1e+00,8.7e-01,8.0e+01
4C+50.11,BeamedAGN,NRAO150,fsrq,0.017,M,0,59.9,50.97,1.51,2.66,1.7e+00,3.3e+00,7.7e+02
[HB89]0212+735,BeamedAGN,S50212+73,fsrq,0.073,M,1,34.38,73.81,1.55,2.94,3.5e+00,1.4e+00,4.1e+01
PMNJ0145-2733,UnknownAGN,PKS0142-278,fsrq,0.042,U,1,26.21,-27.54,1.43,2.6,1.1e+00,9.8e-01,8.1e+02
