Source_Name,Flux1000,Energy_Flux100,PL_Index,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,ASSOC1
4FGL J0036.9+1832,2.76187e-10,3.59806e-12,2.38526,106.28,1.3629,0.349417,bcu,CRATES J003659.39+183203.7
4FGL J0037.2-2653,7.95641e-11,9.98554e-13,2.34324,6.5137,0.0,10.0,,
4FGL J0037.6+3653,1.81453e-10,2.29387e-12,2.35181,12.5966,0.231966,0.343019,fsrq,4C +36.01
4FGL J0037.8+1239,7.29609e-10,8.41481e-12,2.21579,61.5361,0.530986,0.146079,bll,NVSS J003750+123818
4FGL J0037.9+2612,1.5268e-10,2.20368e-12,2.4828,5.42687,0.0,10.0,bll,WISE J003719.15+261312.6
4FGL J0038.1+0012,4.21257e-10,4.68879e-12,2.02608,8.30456,0.0,10.0,bll,NVSS J003808+001336
4FGL J0038.2-2459,1.44879e-09,1.42176e-11,2.26223,1644.31,1.79921,0.425535,fsrq,PKS 0035-252
4FGL J0038.7-0204,1.71309e-10,4.49219e-12,2.88725,17.6185,0.333794,0.154713,rdg,3C 17
4FGL J0039.0-0946,2.33146e-10,4.44464e-12,2.69027,17.6833,0.310746,0.15002,fsrq,TXS 0036-099
4FGL J0039.1-2219,2.36758e-10,3.03079e-12,1.75869,7.20185,0.0,10.0,bcu,PMN J0039-2220
4FGL J0039.1+6257,1.9824e-09,9.82004e-12,2.34024,8.26633,0.0,10.0,,
4FGL J0039.1+4330,2.18899e-10,2.43151e-12,2.05892,24.8942,0.589224,0.249469,bcu,NVSS J003907+433015
4FGL J0039.7+4203,1.39797e-10,1.79203e-12,2.36767,14.0843,0.38922,0.465782,,
4FGL J0040.2-2725,9.37666e-11,1.45078e-12,2.54015,5.03503,0.0,10.0,,
4FGL J0040.3+4050,2.17541e-10,2.48891e-12,1.9257,16.4109,0.451555,0.30222,bll,B3 0037+405
4FGL J0040.4-2340,1.83218e-10,2.31096e-12,2.34916,18.1787,0.513067,0.231587,bll,PMN J0040-2340
4FGL J0040.7-7157,1.83614e-10,2.03998e-12,2.05016,4.95788,0.0,10.0,,
4FGL J0040.9+3203,1.38535e-10,1.77299e-12,2.36587,16.6591,0.641085,0.340929,bcu,TXS 0038+319
4FGL J0041.3+6052,5.85209e-10,7.60083e-12,2.75336,4.04214,0.0,10.0,bcu,NVSS J004058+605407
4FGL J0041.4+3800,1.49883e-10,1.70762e-12,1.93582,12.3426,0.496368,0.394233,fsrq,B3 0038+377
4FGL J0041.7-1607,7.06797e-11,9.38982e-13,1.71932,14.276,0.548848,0.514632,bcu,GALEXASC J004141.24-160746.6
4FGL J0041.9-4702,6.6338e-11,7.74074e-13,1.88567,8.39782,0.0,10.0,bcu,RBS 0097
4FGL J0042.0+3640,1.65559e-10,1.84355e-12,2.10098,7.22026,0.0,10.0,bll,RX J0042.0+3641
4FGL J0042.2+2319,4.02789e-10,4.96858e-12,2.32186,15.5868,0.283765,0.147261,fsrq,PKS 0039+230
4FGL J0043.2+4114,2.68899e-10,1.78552e-12,2.50487,4.16984,0.0,10.0,gal,M 31
