,Name,Class,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Photon Fluence (ph/cm2) (0.2-5 MeV),Source Counts (ph),Background Counts,Duration (s),Coverage,MDP99 (%),Asymmetry
5503,4FGL J0403.9-3605,FSRQ,3.699859131437842e-06,93.98234171313149,1273.9799591007632,6350400.0,25401600.0,0.04772727272727273,2828.899640582149,0.16666666666666666
5504,4FGL J0403.9-3605,FSRQ,5.096946725657628e-06,12.330533518710935,167.14685228643387,604800.0,2419200.0,0.004545454545454545,6654.320744262837,0.125
5505,4FGL J0403.9-3605,FSRQ,8.851452087718092e-06,10.706716445303805,145.13515975933345,302400.0,1209600.0,0.0022727272727272726,5419.490871980518,0.0
5506,4FGL J0403.9-3605,FSRQ,4.278490539464517e-06,5.17526215653628,70.15339424766215,302400.0,1209600.0,0.0022727272727272726,11210.593683877303,0.0
5507,4FGL J0403.9-3605,FSRQ,7.275166099494322e-06,17.600081827896663,238.57834480986313,604800.0,2419200.0,0.004545454545454545,4662.260650016606,-0.75
5508,4FGL J0403.9-3605,FSRQ,3.4615500128754674e-06,16.748363582296662,227.03285705210013,1209600.0,4838400.0,0.00909090909090909,6928.017326487603,0.0
5509,4FGL J0403.9-3605,FSRQ,6.0750111477069915e-06,51.438334389864636,697.273614890731,2116800.0,8467200.0,0.015909090909090907,2984.3120721816467,-0.6428571428571429
5510,4FGL J0403.9-3605,FSRQ,8.431707172879067e-06,285.57180389680656,3871.0756554595596,8467200.0,33868800.0,0.06363636363636363,1075.1610955138774,-0.30357142857142855
5511,4FGL J0403.9-3605,FSRQ,4.702875228601686e-06,5.688597876516599,77.11192930461647,302400.0,1209600.0,0.0022727272727272726,10199.073632802521,0.0
5512,4FGL J0403.9-3605,FSRQ,3.958036794605839e-06,4.787641306755223,64.89899022506397,302400.0,1209600.0,0.0022727272727272726,12118.12949070761,0.0
5513,4FGL J0403.9-3605,FSRQ,5.402834391204549e-06,35.943976637805626,487.2394649063336,1663200.0,6652800.0,0.0125,3785.5537995887607,-0.6363636363636364
5514,4FGL J0403.9-3605,FSRQ,4.091414839763235e-06,12.372438475444023,167.71489596455262,756000.0,3024000.0,0.005681818181818182,7414.356528674713,0.0
5515,4FGL J0403.9-3605,FSRQ,8.234362106064556e-06,199.20568806991375,2700.337634856874,6048000.0,24192000.0,0.045454545454545456,1302.6291444606923,-0.25
5516,4FGL J0403.9-3605,FSRQ,6.299370011546273e-06,34.28873084684867,464.8017396206441,1360800.0,5443200.0,0.010227272727272727,3589.546636455752,0.16666666666666666
5517,4FGL J2327.5+0939,FSRQ,1.5974114817468324e-05,19.322289283209685,263.1388307300973,302400.0,1209600.0,0.0022701475595913734,2989.7223823295717,0.0
5518,4FGL J2327.5+0939,FSRQ,1.703291781689706e-05,92.71357826093409,1262.6113924081042,1360800.0,5443200.0,0.01021566401816118,1321.7973283277283,0.2222222222222222
5519,4FGL J2327.5+0939,FSRQ,9.466093399861632e-06,80.15130603530841,1091.5332361755104,2116800.0,8467200.0,0.015891032917139614,1906.5619897210008,0.0
5520,4FGL J2327.5+0939,FSRQ,3.3077296448972777e-06,57.014674343165396,776.4491319439384,4309200.0,17236800.0,0.03234960272417707,3823.4945654681937,0.0
5521,4FGL J2327.5+0939,FSRQ,4.339187404705324e-06,152.21175145721523,2072.8818265150467,8769600.0,35078400.0,0.06583427922814983,2043.1615504291865,0.9827586206896551
5522,4FGL J2327.5+0939,FSRQ,1.1633534018844045e-05,63.32365237137191,862.3673726405378,1360800.0,5443200.0,0.01021566401816118,1934.9887222210725,0.0
5523,4FGL J2327.5+0939,FSRQ,6.444887822609699e-06,15.591472620457385,212.33104496953104,604800.0,2419200.0,0.004540295119182747,5238.4723208208425,0.0
5524,4FGL J2327.5+0939,FSRQ,7.707559722549557e-06,32.630724841385806,444.37854411480413,1058400.0,4233600.0,0.007945516458569807,3311.3037680712596,0.0
5525,4FGL J2151.8-3027,FSRQ,3.261930165625308e-05,78.91261456680745,1076.0341086977353,604800.0,2419200.0,0.004545454545454545,1034.4318558914554,0.0
5526,4FGL J2151.8-3027,FSRQ,4.074658363104085e-05,394.2965404808561,5376.53617014205,2419200.0,9676800.0,0.01818181818181818,414.14403892232025,-0.0625
5527,4FGL J2151.8-3027,FSRQ,3.014039212145941e-05,36.457818310117304,497.13035419931555,302400.0,1209600.0,0.0022727272727272726,1583.1181771146714,0.0
5528,4FGL J2151.8-3027,FSRQ,4.104759407455152e-05,62.06396224072189,846.2897935716809,378000.0,1512000.0,0.002840909090909091,1040.0361942532506,0.0
5529,4FGL J2151.8-3027,FSRQ,5.16242747563378e-05,31.2223613726331,425.74087774771675,151200.0,604800.0,0.0011363636363636363,1307.907873581679,0.0
5530,4FGL J2151.8-3027,FSRQ,4.2642490367836746e-05,580.2790089255225,7912.549971799029,3402000.0,13608000.0,0.02556818181818182,333.7268830850334,-0.5555555555555556
5531,4FGL J2151.8-3027,FSRQ,3.777385957780815e-05,45.69126054531674,623.0354308503173,302400.0,1209600.0,0.0022727272727272726,1263.4588876039272,0.0
5532,4FGL J2151.8-3027,FSRQ,1.9690781592297014e-05,809.8109600774438,11042.394418485219,10281600.0,41126400.0,0.07727272727272727,415.46670339850795,0.20588235294117646
5533,4FGL J2151.8-3027,FSRQ,3.48358927217564e-05,31.603121877177408,430.9328396714694,226800.0,907200.0,0.0017045454545454545,1581.831326193241,0.0
5534,4FGL J2151.8-3027,FSRQ,5.067992826689259e-05,61.30244123163328,835.9058697241755,302400.0,1209600.0,0.0022727272727272726,942.0391996512188,0.0
5535,4FGL J1924.8-2914,FSRQ,2.8831443837337073e-06,112.47030915169843,1529.4044750021772,9752400.0,39009600.0,0.07337883959044368,2920.138733122184,0.5038759689922481
5536,4FGL J1924.8-2914,FSRQ,2.8900882044514635e-06,141.58195303023186,1925.2732047879742,12247200.0,48988800.0,0.09215017064846416,2599.5382318598877,-0.6728395061728395
5537,4FGL J1924.8-2914,FSRQ,1.584368761692115e-06,63.24293098671181,859.9960504498201,9979200.0,39916800.0,0.07508532423208192,5252.98495286678,0.0
5538,4FGL J1924.8-2914,FSRQ,4.561039885742669e-06,11.034067691588664,150.04451070042964,604800.0,2419200.0,0.004550625711035267,7412.687339520678,0.0
5539,4FGL J1924.8-2914,FSRQ,7.853205383183869e-07,18.523512601423455,251.88819412921873,5896800.0,23587200.0,0.04436860068259386,13786.235699235993,0.0
5540,4FGL J1924.8-2914,FSRQ,9.331398285338527e-07,106.38241952403618,1446.6195541631348,28501200.0,114004800.0,0.21444823663253698,5277.452103040462,-0.9204244031830239
5541,4FGL J1357.1+1921,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
5542,4FGL J1332.0-0509,FSRQ,5.237641493015443e-06,9.50317672492722,129.1566374748268,453600.0,1814400.0,0.00340522133938706,7457.918817286017,0.0
