,Unnamed: 0.1,Unnamed: 0,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV)
37,37,37,4FGL J0014.9+3212,BCU,4.699364820789437e-07,64.37528285784468,676.2699688258415,684936000.0,136987200.0,56587.00001157408,0.2618497109826589,55340.25377329915,0.0,4.0781856571278e-07,1.181441436687232e-06
38,38,38,4FGL J0016.2-0016,FSRQ,1.4082827581448486e-06,9.369023533386049,98.40696331248816,33264000.0,6652800.0,55967.50001157408,0.0127167630057803,83810.43321120914,0.0,9.18972228291471e-07,2.3327948787253166e-06
39,39,39,4FGL J0016.2-0016,FSRQ,1.0825418131774728e-06,42.88424440393768,450.43202748972993,198072000.0,39614400.0,56559.00001157408,0.0757225433526011,44680.5809904747,0.0,9.18972228291471e-07,1.8932828001248948e-06
40,40,40,4FGL J0016.2-0016,FSRQ,9.892543499908535e-07,80.17233813717876,842.0852300805786,405216000.0,81043200.0,57024.50001157408,0.1549132947976878,34184.06702153347,0.0,9.18972228291471e-07,2.0172477453711675e-06
41,41,41,4FGL J0016.2-0016,FSRQ,9.686170039924686e-07,158.75710184796878,1667.495469669697,819504000.0,163900800.0,58358.00001157408,0.3132947976878613,24549.76591798245,0.0,9.18972228291471e-07,3.6851397359573847e-06
42,42,42,4FGL J0017.0-0649,BCU,7.217216152805906e-06,831.5272287158408,10826.374259614906,576072000.0,115214400.0,56233.50001157408,0.2199769053117783,3170.264266132536,0.0,6.389986341080374e-06,1.8962547333646297e-05
43,43,43,4FGL J0017.0-0649,BCU,7.935771254080877e-06,251.976608859576,3280.7020359337007,158760000.0,31752000.0,58025.50001157408,0.0606235565819861,5492.173921467414,0.0,6.389986341080374e-06,1.1509060520421165e-05
44,44,44,4FGL J0017.0-0649,BCU,1.1280445168586947e-05,266.074116280494,3464.249713262633,117936000.0,23587200.0,58484.00001157408,0.0450346420323325,4482.872872305899,0.0,6.389986341080374e-06,1.5893464528200653e-05
45,45,45,4FGL J0017.5-0514,FSRQ,4.042004619945859e-06,55.00359886822325,662.7402375631041,68040000.0,13608000.0,54683.00001157408,0.0255972696245733,17798.236197386028,0.8,2.901948033164564e-06,7.614325027478532e-06
46,46,46,4FGL J0017.5-0514,FSRQ,3.4707950998289526e-06,87.11418036962685,1049.6417285639795,125496000.0,25099200.0,56097.00001157408,0.0472127417519908,15262.009082180795,0.0,2.901948033164564e-06,7.650411875949995e-06
47,47,47,4FGL J0017.5-0514,FSRQ,8.034736812171068e-06,19.43763529600425,234.2047302141369,12096000.0,2419200.0,56429.50001157408,0.0045506257110352,21235.645594330985,-0.5,2.901948033164564e-06,1.5372997448842913e-05
