,Name,Class,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Photon Fluence (ph/cm2) (0.2-5 MeV),Source Counts (ph) (0.2-5 MeV),Background Counts,Duration (s),Coverage,MDP99 (%),Asymmetry
90,4FGL J0030.6-0212,BCU,1.8540904164105195e-06,100.9218495460574,1192.8729798601341,6804000.0,54432000.0,0.10465116279069768,3127.246069605291,0.35555555555555557
91,4FGL J0030.6-0212,BCU,1.7655893072917145e-06,117.46112543550318,1388.3634054093438,8316000.0,66528000.0,0.12790697674418605,2970.4782015018986,-0.9636363636363636
92,4FGL J0030.6-0212,BCU,1.8057115327356621e-06,71.53217894240362,845.4938532609048,4951800.0,39614400.0,0.07616279069767441,3763.9531071530578,0.5038167938931297
93,4FGL J0030.6-0212,BCU,1.5839923016630476e-06,20.117969424962034,237.78975756620036,1587600.0,12700800.0,0.02441860465116279,7577.849229680854,0.9047619047619048
94,4FGL J0030.6-0212,BCU,1.8228401584223473e-06,7.71717609469685,91.2152411553386,529200.0,4233600.0,0.00813953488372093,11405.543094761355,-0.5714285714285714
95,4FGL J0030.6-0212,BCU,nan,nan,,831600.0,6652800.0,0.012790697674418604,,0.0
96,4FGL J0030.6-0212,BCU,nan,nan,,680400.0,5443200.0,0.010465116279069767,,0.0
97,4FGL J0030.6-0212,BCU,1.5360794011215333e-06,58.99282218419226,697.2815490970713,4800600.0,38404800.0,0.07383720930232558,4493.731942254059,-0.968503937007874
98,4FGL J0030.6-0212,BCU,1.5098706350133546e-06,8.218527840504692,97.14110313339272,680400.0,5443200.0,0.010465116279069767,12143.5638025604,0.0
99,4FGL J0030.6-0212,BCU,1.5280939176979474e-06,41.58860406406734,491.5677059157241,3402000.0,27216000.0,0.05232558139534884,5366.006847799303,0.0
100,4FGL J0032.3-5522,BCU,1.187871165455333e-07,3.2688313879466038,33.238914240913296,3439800.0,27518400.0,0.054819277108433734,79791.73395828425,-0.23076923076923078
101,4FGL J0033.5-1921,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
102,4FGL J0034.0-4116,BCU,2.3508205076264885e-05,1976.2689777873754,26071.373028011963,10508400.0,84067200.0,0.16087962962962962,178.02398059066905,0.24820143884892087
103,4FGL J0035.2+1514,BLL,nan,nan,,8240400.0,65923200.0,0.12557603686635946,,0.0
104,4FGL J0035.2+1514,BLL,4.800574579523598e-09,0.7635909139980144,7.288801269303516,19882800.0,159062400.0,0.3029953917050691,874820.1542018467,-0.8631178707224335
105,4FGL J0035.8+6131,BCU,1.3600278435815586e-05,1213.2536387022367,15000.158826355992,11151000.0,89208000.0,0.16993087557603687,318.55835114545386,0.0
106,4FGL J0035.8+6131,BCU,1.402265400032037e-05,1518.081303951483,18768.920153374904,13532400.0,108259200.0,0.20622119815668202,280.4691705899518,0.8603351955307262
107,4FGL J0035.9+5950,BLL,8.725647874473451e-08,3.1135903823441105,35.96284646892915,4460400.0,35683200.0,0.06696935300794551,83978.98723922785,0.0
108,4FGL J0035.9+5950,BLL,nan,nan,,1436400.0,11491200.0,0.021566401816118047,,0.0
109,4FGL J0036.9+1832,BCU,nan,nan,,15762600.0,126100800.0,0.24104046242774566,,0.9904076738609112
