,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV)
4759,4FGL J1800.6+7828,BLL,0.0002122293337678377,128.35630106278825,1734.8605333014286,3024000.0,604800.0,56639.50001157408,0.0011350737797956867,1433.79448199227,0.0,0.00010050226810847255
4760,4FGL J1800.6+7828,BLL,0.00019027816248106628,978.1819776826655,13221.082980867972,25704000.0,5140800.0,56846.00001157408,0.009648127128263337,548.5055491256367,-0.7058823529411765,0.00010050226810847255
4761,4FGL J1800.6+7828,BLL,0.00013607645518055476,205.7476002329988,2780.879384262584,7560000.0,1512000.0,56912.50001157408,0.0028376844494892167,1414.1472838472803,0.0,0.00010050226810847255
4762,4FGL J1800.6+7828,BLL,0.00010667645041448077,516.1433376854237,6976.180356263862,24192000.0,4838400.0,56947.50001157408,0.009080590238365494,1008.362841831258,0.0,0.00010050226810847255
4763,4FGL J1800.6+7828,BLL,0.00016978346701427018,308.0551225506918,4163.665279923429,9072000.0,1814400.0,57073.50001157408,0.00340522133938706,1034.6927065706543,0.0,0.00010050226810847255
4764,4FGL J1800.6+7828,BLL,0.00021361645359638565,775.1713868105643,10477.196946212549,18144000.0,3628800.0,57248.50001157408,0.00681044267877412,581.5442998030439,-0.6666666666666666,0.00010050226810847255
4765,4FGL J1800.6+7828,BLL,0.00030128242676061664,364.43122340964186,4925.643239647978,6048000.0,1209600.0,57339.50001157408,0.0022701475595913734,714.2590533819631,0.0,0.00010050226810847255
4766,4FGL J1800.6+7828,BLL,0.00021056478997358015,127.34958497602128,1721.2537840206332,3024000.0,604800.0,57710.50001157408,0.0011350737797956867,1445.1255763429326,0.0,0.00010050226810847255
4767,4FGL J1800.6+7828,BLL,0.00011762776146086691,213.42381039459693,2884.63084752865,9072000.0,1814400.0,57836.50001157408,0.00340522133938706,1493.3663126857036,0.0,0.00010050226810847255
4768,4FGL J1800.6+7828,BLL,0.00011818260939228609,428.86105296272774,5796.47519361889,18144000.0,3628800.0,58207.50001157408,0.00681044267877412,1051.012631396018,0.0,0.00010050226810847255
4769,4FGL J1800.6+7828,BLL,0.00022367307235335838,1082.2197932744891,14627.255476855185,24192000.0,4838400.0,58536.50001157408,0.009080590238365494,480.99474552853644,0.375,0.00010050226810847255
4770,4FGL J1800.6+7828,BLL,0.0005124714206570434,1239.7708608535195,16756.71173929968,12096000.0,2419200.0,58935.50001157408,0.004540295119182747,297.0084025629606,0.0,0.00010050226810847255
4771,4FGL J1800.6+7828,BLL,0.00023416828518945288,8922.37366960261,120594.57786329853,190512000.0,38102400.0,58970.50001157408,0.07150964812712826,163.72192233126825,0.4444444444444444,0.00010050226810847255
4772,4FGL J1800.6+7828,BLL,0.00018268169982001113,4750.893358199138,64212.955007419165,130032000.0,26006400.0,59607.50001157408,0.04880817253121453,254.00701371989504,-0.6976744186046512,0.00010050226810847255
4773,4FGL J1800.6+7828,BLL,0.00015813166045446731,191.27605648572367,2585.2823633511484,6048000.0,1209600.0,60027.50001157408,0.0022701475595913734,1360.588347874947,0.0,0.00010050226810847255
4774,4FGL J1800.6+7828,BLL,0.00017436096244847842,421.814040355359,5701.227948653322,12096000.0,2419200.0,60048.50001157408,0.004540295119182747,872.5510497108792,0.0,0.00010050226810847255
4775,4FGL J1800.6+7828,BLL,0.0002807530532981069,2546.9916995204258,34425.075680412665,45360000.0,9072000.0,60090.50001157408,0.0170261066969353,279.87389623594817,-0.4666666666666667,0.00010050226810847255
4776,4FGL J1800.6+7828,BLL,0.0001526084015007945,1107.5707347321663,14969.898163289763,36288000.0,7257600.0,60216.50001157408,0.01362088535754824,575.5569059819625,-0.6666666666666666,0.00010050226810847255
4777,4FGL J1800.6+7828,BLL,0.0002521783848300189,152.51748714519545,2061.422516040521,3024000.0,604800.0,60419.50001157408,0.0011350737797956867,1206.7238369370277,0.0,0.00010050226810847255
4778,4FGL J1800.6+7828,BLL,0.00015313802907169463,555.7072798953654,7510.925602999125,18144000.0,3628800.0,60461.50001157408,0.00681044267877412,811.1458823966998,0.0,0.00010050226810847255
4779,4FGL J1800.6+7828,BLL,0.00011943101723797925,1480.753524123362,20013.827348390107,61992000.0,12398400.0,60556.00001157408,0.023269012485811577,562.6571033942691,0.8536585365853658,0.00010050226810847255
4780,4FGL J1800.6+7828,BLL,0.0001319150956949109,159.56449975256422,2156.6697610060896,6048000.0,1209600.0,60762.50001157408,0.0022701475595913734,1630.931417530565,0.0,0.00010050226810847255
4781,4FGL J2000.0+6508,BLL,1.0696861258656477e-05,142.3281571631796,1912.8983190252573,66528000.0,13305600.0,54707.50001157408,0.024971623155505107,6097.511518291826,0.0,1.0628183007704996e-05
4782,4FGL J2000.0+6508,BLL,1.131132816878617e-05,109.45746042371,1471.114333400893,48384000.0,9676800.0,54868.50001157408,0.018161180476730987,6761.562979116698,0.0,1.0628183007704996e-05
4783,4FGL J2000.0+6508,BLL,1.2559361174890964e-05,26.585655735009194,357.31268625488576,10584000.0,2116800.0,55313.00001157408,0.003972758229284903,13020.26572992036,0.0,1.0628183007704996e-05
4784,4FGL J2000.0+6508,BLL,nan,nan,,3024000.0,604800.0,55778.50001157408,0.0011350737797956867,,0.0,1.0628183007704996e-05
4785,4FGL J2000.0+6508,BLL,1.0948004575979938e-05,66.21353167552667,889.913534773199,30240000.0,6048000.0,56100.50001157408,0.011350737797956867,8836.606358148587,0.0,1.0628183007704996e-05
4786,4FGL J2000.0+6508,BLL,1.2133745697215382e-05,176.12374554422072,2367.1128995628555,72576000.0,14515200.0,56541.50001157408,0.02724177071509648,5146.602917948662,0.0,1.0628183007704996e-05
4787,4FGL J2000.0+6508,BLL,1.715707762179754e-05,1234.815464933915,16595.988272864033,359856000.0,71971200.0,57143.50001157408,0.13507377979568672,1634.5842371637953,-0.5294117647058824,1.0628183007704996e-05
4788,4FGL J2000.0+6508,BLL,1.960761934446008e-05,59.29344089764728,796.9071312593046,15120000.0,3024000.0,57983.50001157408,0.0056753688989784334,6977.754161055188,0.0,1.0628183007704996e-05
4789,4FGL J2000.0+6508,BLL,1.357701848414327e-05,730.8128893496767,9822.165728993528,269136000.0,53827200.0,58025.50001157408,0.10102156640181612,2388.485456434288,-0.9662921348314607,1.0628183007704996e-05
4790,4FGL J2000.0+6508,BLL,1.1422818490100471e-05,48.359644359689355,649.9562999206784,21168000.0,4233600.0,58963.50001157408,0.007945516458569807,10122.748817887856,0.0,1.0628183007704996e-05
4791,4FGL J2000.0+6508,BLL,1.4237197448671168e-05,464.9754789156414,6249.296202057451,163296000.0,32659200.0,60020.50001157408,0.06129398410896708,2924.15918570702,0.7222222222222222,1.0628183007704996e-05
4792,4FGL J2000.0+6508,BLL,1.5220075340940226e-05,78.24336331270551,1051.5951385793464,25704000.0,5140800.0,60405.50001157408,0.009648127128263337,6894.403666190996,-0.7647058823529411,1.0628183007704996e-05
4793,4FGL J2000.0+6508,BLL,1.3889718257915594e-05,134.4080256381976,1806.4513124555945,48384000.0,9676800.0,60573.50001157408,0.018161180476730987,5506.412830077782,0.0,1.0628183007704996e-05
4794,4FGL J2253.9+1609,FSRQ,0.0035756941418923077,27032.247712705845,365643.2375957604,37800000.0,7560000.0,54683.00001157408,0.014188422247446084,24.160993297379793,-0.2,0.0017227166356347885
4795,4FGL J2253.9+1609,FSRQ,0.0020962194969418517,5071.174207001727,68593.65063411594,12096000.0,2419200.0,54777.50001157408,0.004540295119182747,72.71113492177109,-0.25,0.0017227166356347885
4796,4FGL J2253.9+1609,FSRQ,0.006398615090943807,328940.00459523924,4449304.01397718,257040000.0,51408000.0,55050.50001157408,0.09648127128263337,5.197217840826779,0.5647058823529412,0.0017227166356347885
4797,4FGL J2253.9+1609,FSRQ,0.0022887294507426335,2768.4471436182894,37446.53376454288,6048000.0,1209600.0,56548.50001157408,0.0022701475595913734,94.20428107020106,0.5,0.0017227166356347885
4798,4FGL J2253.9+1609,FSRQ,0.0027189060141740115,4933.183072117326,66727.15673931007,9072000.0,1814400.0,56744.50001157408,0.00340522133938706,64.7852700313518,0.0,0.0017227166356347885
4799,4FGL J2253.9+1609,FSRQ,0.002509759397699088,1517.9024837284085,20531.432842864633,3024000.0,604800.0,56779.50001157408,0.0011350737797956867,121.52818440131054,0.0,0.0017227166356347885
4800,4FGL J2253.9+1609,FSRQ,0.005090818778287354,64657.47113927203,874569.0455849783,63504000.0,12700800.0,56793.50001157408,0.02383654937570942,13.119358362479531,-0.6190476190476191,0.0017227166356347885
4801,4FGL J2253.9+1609,FSRQ,0.003402953728801707,22639.170566971996,306221.65461658896,33264000.0,6652800.0,56954.50001157408,0.012485811577752554,27.05685056583172,0.36363636363636365,0.0017227166356347885
4802,4FGL J2253.9+1609,FSRQ,0.003158589241990613,15282.518188447382,206714.19884975077,24192000.0,4838400.0,57052.50001157408,0.009080590238365494,34.170332025940326,-0.875,0.0017227166356347885
4803,4FGL J2253.9+1609,FSRQ,0.002837739318989309,1716.264740124734,23214.51781664808,3024000.0,604800.0,57143.50001157408,0.0011350737797956867,107.52956387788304,0.0,0.0017227166356347885
4804,4FGL J2253.9+1609,FSRQ,0.0034865691632808347,12652.062179713494,171134.15898001372,18144000.0,3628800.0,57164.50001157408,0.00681044267877412,35.760566058668815,0.8333333333333334,0.0017227166356347885
4805,4FGL J2253.9+1609,FSRQ,0.0037844446473511814,41198.9782089239,557265.0834679793,54432000.0,10886400.0,57227.50001157408,0.02043132803632236,19.028877173707926,-0.6111111111111112,0.0017227166356347885
4806,4FGL J2253.9+1609,FSRQ,0.00403736153109974,19534.370032072984,264225.5419834568,24192000.0,4838400.0,57374.50001157408,0.009080590238365494,26.764304085531865,0.0,0.0017227166356347885
4807,4FGL J2253.9+1609,FSRQ,0.002238819462720209,1354.0380110531823,18314.971342782654,3024000.0,604800.0,57437.50001157408,0.0011350737797956867,136.18581723425976,0.0,0.0017227166356347885
4808,4FGL J2253.9+1609,FSRQ,0.0031657192402795306,3829.2539930421203,51795.20558086306,6048000.0,1209600.0,57451.50001157408,0.0022701475595913734,68.18739566726356,-0.5,0.0017227166356347885
4809,4FGL J2253.9+1609,FSRQ,0.0023172494438983057,2802.9449273393907,37913.157238244356,6048000.0,1209600.0,57521.50001157408,0.0022701475595913734,93.04841097016102,0.5,0.0017227166356347885
4810,4FGL J2253.9+1609,FSRQ,0.003956600588942574,31108.37647050209,420777.7174102996,39312000.0,7862400.0,57542.50001157408,0.014755959137343927,21.421889161443485,-0.6153846153846154,0.0017227166356347885
4811,4FGL J2253.9+1609,FSRQ,0.0024598494096766624,8926.301537834674,120738.82382025507,18144000.0,3628800.0,57661.50001157408,0.00681044267877412,50.6169333651872,0.3333333333333333,0.0017227166356347885
4812,4FGL J2253.9+1609,FSRQ,0.003194239233435203,7727.503553526442,104523.65810912904,12096000.0,2419200.0,57731.50001157408,0.004540295119182747,47.78709963168561,-0.25,0.0017227166356347885
4813,4FGL J2253.9+1609,FSRQ,0.002333886106572447,8469.205903530095,114556.06279371062,18144000.0,3628800.0,57766.50001157408,0.00681044267877412,53.33977425020375,-0.5,0.0017227166356347885
4814,4FGL J2253.9+1609,FSRQ,0.0020284845131971316,4907.309734326501,66377.18913403395,12096000.0,2419200.0,57829.50001157408,0.004540295119182747,75.13225329748354,0.0,0.0017227166356347885
4815,4FGL J2253.9+1609,FSRQ,0.0017967595688073012,2173.3603744293114,29397.27884319254,6048000.0,1209600.0,58109.50001157408,0.0022701475595913734,119.91892292498277,0.0,0.0017227166356347885
4816,4FGL J2253.9+1609,FSRQ,0.0031657192402795306,1914.6269965210602,25897.60279043153,3024000.0,604800.0,58396.50001157408,0.0011350737797956867,96.43153973554456,0.0,0.0017227166356347885
4817,4FGL J2253.9+1609,FSRQ,0.001925099538007823,1164.3002005871313,15748.542237424575,3024000.0,604800.0,58599.50001157408,0.0011350737797956867,158.31224490681825,0.0,0.0017227166356347885
4818,4FGL J2253.9+1609,FSRQ,0.002250227459982477,13609.375677974022,184082.96037522948,30240000.0,6048000.0,59824.50001157408,0.011350737797956867,42.84806319477772,-0.2,0.0017227166356347885
4819,4FGL J2253.9+1609,FSRQ,0.002238819462720209,1354.0380110531823,18314.971342782654,3024000.0,604800.0,59908.50001157408,0.0011350737797956867,136.18581723425976,0.0,0.0017227166356347885
4820,4FGL J2229.7-0832,FSRQ,0.0004417180879760567,6010.899741178179,81423.7016009575,68040000.0,13608000.0,54683.00001157408,0.02556818181818182,144.95294839169182,0.7333333333333333,0.0002653878820818332
4821,4FGL J2229.7-0832,FSRQ,0.0005135223475138814,2795.204841987559,37863.86976451817,27216000.0,5443200.0,54966.50001157408,0.010227272727272727,197.16284712924448,0.0,0.0002653878820818332
4822,4FGL J2229.7-0832,FSRQ,0.0004249840117356261,899.6061560419733,12186.073027661023,10584000.0,2116800.0,55183.50001157408,0.003977272727272727,381.98565084404964,0.0,0.0002653878820818332
4823,4FGL J2229.7-0832,FSRQ,0.0004284406453927223,1295.6045116675923,17550.27029118255,15120000.0,3024000.0,55218.50001157408,0.005681818181818182,317.0151571685606,0.0,0.0002653878820818332
4824,4FGL J2229.7-0832,FSRQ,0.0004136380270268413,5753.870411154173,77941.9799999137,69552000.0,13910400.0,55281.50001157408,0.026136363636363635,153.09556853760085,-0.43478260869565216,0.0002653878820818332
4825,4FGL J2229.7-0832,FSRQ,0.00038423212019933316,2556.219449262124,34626.571499342084,33264000.0,6652800.0,55568.50001157408,0.0125,238.30859454634367,0.0,0.0002653878820818332
4826,4FGL J2229.7-0832,FSRQ,0.0003864152572459203,2804.4473709879912,37989.06914493935,36288000.0,7257600.0,55764.50001157408,0.013636363636363636,226.87472155149013,0.5833333333333334,0.0002653878820818332
4827,4FGL J2229.7-0832,FSRQ,0.0004810178625980288,1018.2186115475073,13792.798409732766,10584000.0,2116800.0,56576.50001157408,0.003977272727272727,337.51366490715543,0.0,0.0002653878820818332
4828,4FGL J2229.7-0832,FSRQ,0.00040700391893142647,3938.4955227156274,53350.89554088078,48384000.0,9676800.0,56702.50001157408,0.01818181818181818,186.54538746755517,-0.875,0.0002653878820818332
4829,4FGL J2229.7-0832,FSRQ,0.00038786902805194303,12198.325784622388,165238.63006966046,157248000.0,31449600.0,57199.50001157408,0.05909090909090909,108.57881031205446,-0.8461538461538461,0.0002653878820818332
